family,candidate,round,iterations,work_items,elapsed_ns,items_per_second,checksum,state_bytes,unit
numeric_motion,float32,9,19609,80318464,97094538,827219178.900,5809389148921457387,65536,fighter_ticks
numeric_motion,fixed_q16_16,9,27857,114102272,98536001,1157975469.291,5114672997083190090,65536,fighter_ticks
broadphase_dense,bitboard_256x256,9,128842,2061472,97656296,21109463.337,1465579,8192,attacker_queries
broadphase_dense,naive,9,84031,1344496,103531480,12986349.659,955853,0,attacker_queries
broadphase_sparse,naive,9,305852,4893632,97253729,50318193.969,1682187,0,attacker_queries
broadphase_sparse,grid_16x16,9,515385,8246160,105109142,78453309.038,2834618,2048,attacker_queries
state_dispatch,switch,9,4878,159842304,95880245,1667103624.944,1431480254094629911,294912,entity_dispatches
state_dispatch,function_table,9,370,12124160,107255435,113040052.469,4741419544511688588,294912,entity_dispatches
numeric_motion,cell_256_int8,9,12932,52969472,103566267,511454873.622,4953305751670994776,16384,fighter_ticks
layout_update,hot_cold_split,9,2312,75759616,94881602,798464764.539,9835848422266164690,2359296,entity_updates
snapshot_64k,tracked_dirty_8x64,9,2834956,2834956,99571614,28471528.040,15415350360390020090,528,snapshots
state_dispatch,data_table,9,14372,470941696,103111522,4567304282.445,463686832922926989,294912,entity_dispatches
snapshot_64k,full_copy_restore,10,34395,34395,98726281,348387.477,11454064898595554491,65536,snapshots
numeric_motion,float32,10,19609,80318464,98231573,817644078.651,5809389148921457387,65536,fighter_ticks
layout_update,aos_with_cold,10,1786,58523648,100182688,584169272.839,6126265558611129152,2359296,entity_updates
world_resolution,world_256_u8,10,22020,90193920,100298277,899256923.427,582423745202475247,16384,fighter_ticks
broadphase_sparse,sweep_rebuild,10,492834,7885344,100419318,78524174.004,2710588,0,attacker_queries
state_dispatch,switch,10,4878,159842304,109104087,1465044146.330,1431480254094629911,294912,entity_dispatches
broadphase_sparse,grid_16x16,10,515385,8246160,129715907,63570923.495,2834618,2048,attacker_queries
layout_update,soa,10,12376,405536768,96638305,4196439165.608,504033715703006143,2359296,entity_updates
state_dispatch,function_table,10,370,12124160,97862383,123889891.379,4741419544511688588,294912,entity_dispatches
broadphase_dense,naive,10,84031,1344496,101745450,13214310.812,955853,0,attacker_queries
numeric_motion,fixed_q16_16,10,27857,114102272,101390903,1125369916.076,5114672997083190090,65536,fighter_ticks
broadphase_sparse,naive,10,305852,4893632,99124317,49368632.724,1682187,0,attacker_queries
broadphase_dense,sweep_rebuild,10,61228,979648,96896155,10110287.658,696470,0,attacker_queries
snapshot_64k,tracked_dirty_8x64,10,2834956,2834956,96720587,29310781.582,15415350360390020090,528,snapshots
broadphase_dense,grid_16x16,10,218688,3499008,98261547,35609127.953,2487576,2048,attacker_queries
layout_update,hot_cold_split,10,2312,75759616,102284059,740678623.245,9835848422266164690,2359296,entity_updates
state_dispatch,data_table,10,14372,470941696,103353850,4556595579.168,463686832922926989,294912,entity_dispatches
world_resolution,world_4096_u16,10,22903,93810688,102185617,918041998.024,6026945843039854204,32768,fighter_ticks
broadphase_sparse,bitboard_256x256,10,256867,4109872,103726858,39622062.012,1412769,8192,attacker_queries
numeric_motion,hybrid_int_position_float_velocity,10,2887,11825152,101730546,116239934.464,2592684200359348522,98304,fighter_ticks
snapshot_64k,scan_delta_64byte_chunks,10,66434,66434,103545959,641589.499,2425371727853661043,65536,snapshots
broadphase_dense,bitboard_256x256,10,128842,2061472,101323563,20345435.346,1465579,8192,attacker_queries
numeric_motion,cell_256_int8,10,12932,52969472,101902388,519805993.163,4953305751670994776,16384,fighter_ticks
broadphase_sparse,grid_16x16,11,515385,8246160,105950832,77830063.666,2834618,2048,attacker_queries
broadphase_sparse,naive,11,305852,4893632,102321910,47825846.879,1682187,0,attacker_queries
world_resolution,world_256_u8,11,22020,90193920,107510196,838933639.373,582423745202475247,16384,fighter_ticks
numeric_motion,fixed_q16_16,11,27857,114102272,99277571,1149325782.759,5114672997083190090,65536,fighter_ticks
numeric_motion,float32,11,19609,80318464,97947330,820016880.501,5809389148921457387,65536,fighter_ticks
world_resolution,world_4096_u16,11,22903,93810688,99505449,942769355.274,6026945843039854204,32768,fighter_ticks
state_dispatch,data_table,11,14372,470941696,105737226,4453887375.483,463686832922926989,294912,entity_dispatches
snapshot_64k,full_copy_restore,11,34395,34395,99616466,345274.244,11454064898595554491,65536,snapshots
broadphase_sparse,bitboard_256x256,11,256867,4109872,99459035,41322258.958,1412769,8192,attacker_queries
broadphase_dense,grid_16x16,11,218688,3499008,106741969,32780058.610,2487576,2048,attacker_queries
broadphase_dense,sweep_rebuild,11,61228,979648,107350308,9125712.057,696470,0,attacker_queries
layout_update,hot_cold_split,11,2312,75759616,99218558,763562961.679,9835848422266164690,2359296,entity_updates
layout_update,soa,11,12376,405536768,105591094,3840634211.063,504033715703006143,2359296,entity_updates
broadphase_dense,bitboard_256x256,11,128842,2061472,98226980,20986820.525,1465579,8192,attacker_queries
broadphase_sparse,sweep_rebuild,11,492834,7885344,92715191,85049104.844,2710588,0,attacker_queries
snapshot_64k,scan_delta_64byte_chunks,11,66434,66434,100976757,657913.781,2425371727853661043,65536,snapshots
numeric_motion,cell_256_int8,11,12932,52969472,105895360,500205788.053,4953305751670994776,16384,fighter_ticks
state_dispatch,switch,11,4878,159842304,95188358,1679221150.133,1431480254094629911,294912,entity_dispatches
layout_update,aos_with_cold,11,1786,58523648,97003182,603316786.041,6126265558611129152,2359296,entity_updates
broadphase_dense,naive,11,84031,1344496,99071397,13570980.532,955853,0,attacker_queries
state_dispatch,function_table,11,370,12124160,95965952,126338141.261,4741419544511688588,294912,entity_dispatches
snapshot_64k,tracked_dirty_8x64,11,2834956,2834956,97966309,28938070.944,15415350360390020090,528,snapshots
numeric_motion,hybrid_int_position_float_velocity,11,2887,11825152,102077355,115845007.935,2592684200359348522,98304,fighter_ticks
state_dispatch,data_table,12,14372,470941696,100222661,4698954221.541,463686832922926989,294912,entity_dispatches
